clinicID    ,clinicName                         ,clinicAddress                    ,creditCardNumber
IRY68MRY7FS ,Adipiscing Elit LLP                ,380-6073 Eleifend St., 550998193829
QHR32AJK8BX ,Pellentesque Sed Consulting        ,"Ap #224-7089 Dui, Av.", 550998193829
COS36CDM7PF ,Elit Fermentum Risus Industries    ,Ap #717-9137 Amet Ave, 550998193829
NNU33WKT2TX ,Diam Duis Mi Institute             ,Ap #845-6734 Interdum. Avenue, 550998193829
LEW96DLL2CN ,Dui Fusce Aliquam Institute        ,Ap #171-9123 Lobortis St., 550998193829
EHN89TQE1KW ,Et Libero LLC                      ,604-8606 Quisque Rd., 550998193829
CSQ02JVD2RN ,Orci Tincidunt Limited             ,352-2794 At Road, 550998193829
DKO19VAN7QR ,Egestas Aliquam Foundation         ,736-640 Ipsum Rd., 550998193829
JCM57FXT6DH ,Purus Maecenas Corp.               ,2746 Metus Rd., 550998193829
MUM98ZRE4CR ,Nulla In Inc.                      ,703-8014 Nunc Road, 550998193829
HFQ13RGB7RG ,Dapibus Gravida Corp.              ,722-9743 Eu Avenue, 550998193829
PHN33GXF8HD ,At Corp.                           ,174-4009 Gravida St., 550998193829
XSJ35ZTB3SS ,Maecenas Iaculis Corp.             ,775-9017 In Av., 550998193829
CNN15DIU2HI ,Facilisis Consulting               ,231-7089 Nibh. Ave, 550998193829
PYY33SRH0BP ,Eget Associates                    ,Ap #474-8477 Nec Av., 550998193829
HFQ13RGB7RG ,Dapibus Gravida Corp.              ,722-9743 Eu Avenue, 550998193829
PHN33GXF8HD ,At Corp.                           ,174-4009 Gravida St., 550998193829
XSJ35ZTB3SS ,Maecenas Iaculis Corp.             ,775-9017 In Av., 550998193829
CNN15DIU2HI ,Facilisis Consulting               ,231-7089 Nibh. Ave, 550998193829
PYY33SRH0BP ,Eget Associates                    ,Ap #474-8477 Nec Av., 550998193829
FWH86KTK3OR ,Placerat Cras Dictum Limited       ,5660 Dapibus Rd., 550998193829
JDO45VEE5NM ,Integer Inc.                       ,7777 Bibendum Road, 550998193829
RBD74PBS6EX ,A Malesuada Industries             ,308-5359 Consequat Street, 550998193829
TJG42BCQ5YY ,Et Corporation                     ,481-453 Sagittis St., 550998193829
JKK23GMV4KH ,Erat Corp.                         ,Ap #939-1314 Quis Av., 550998193829
MVL78MSA7KC ,In Consequat Enim Limited          ,484-6640 Magna Avenue, 550998193829
WKQ44EOS4GN ,Dui Inc.                           ,Ap #751-2478 A Rd., 550998193829
SOK51AIS3CX ,Tempor Lorem LLC                   ,306-6203 Luctus Rd., 550998193829
MDG92KFV1WD ,Scelerisque Scelerisque Consulting ,"P.O. Box 424, 8900 Integer Rd.", 550998193829
FEC59NCK4IT ,In Aliquet Lobortis Corporation    ,5335 Sed Street, 550998193829
